source,policy,family,worlds,successes,jsr,wilson_95_low,wilson_95_high
DeepSeek_grammar,aligned,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:bound_relation,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:bound_relation,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:bound_relation,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:bound_relation,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:bound_relation,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,mask_signature:bound_relation,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:bound_relation,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:bound_relation,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:multi_argument_function,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,meta_law,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:multi_argument_function,unification,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,mask_signature:relation_arity_3,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:relation_arity_3,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:self_composed_function,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:self_composed_function,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:self_composed_function,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:self_composed_function,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:self_composed_function,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,mask_signature:self_composed_function,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:self_composed_function,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:self_composed_function,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:shared_rule_binding,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:shared_rule_binding,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:shared_rule_binding,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:shared_rule_binding,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:shared_rule_binding,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,mask_signature:shared_rule_binding,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:shared_rule_binding,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:shared_rule_binding,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:temporally_indexed_recurrence,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:unobserved_dependency,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_dependency,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_dependency,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_dependency,latent_common_cause,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_dependency,meta_law,12,9,0.75,0.46769466506643426,0.9110583316059453
DeepSeek_grammar,mask_signature:unobserved_dependency,property_to_relation,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_dependency,state_invention,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_dependency,unification,12,6,0.5,0.2537815976337061,0.7462184023662939
DeepSeek_grammar,mask_signature:unobserved_selector,causal_ambiguity,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_selector,coordinate_transform,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
DeepSeek_grammar,mask_signature:unobserved_selector,hidden_regimes,12,0,0.0,2.7755575615628914e-17,0.24249400665524085
